n_prev_games,n_estimators,max_depth,min_samples_split,val_MAE,val_MSE,val_RMSE,test_MAE,test_MSE,test_RMSE
2,1000,10,2,1.2136553662392957,4.556996357683295,2.1347122423603837,1.1817866780980304,4.465713937578541,2.113223589111796
5,1000,10,2,1.1555092830175775,4.304302143579995,2.0746812149291745,1.234385309715725,4.868915536686829,2.2065619267736016
10,1000,10,2,1.19649473620643,4.593905569757249,2.143339816677992,1.2971774921070025,5.237135195611386,2.288478795097605
15,1000,10,2,1.269075397994619,5.214318599188658,2.283488252474416,1.2422024962854574,4.733624882810717,2.175689518936633
