n_prev_games,n_estimators,max_depth,min_samples_split,val_MAE,val_MSE,val_RMSE,test_MAE,test_MSE,test_RMSE
2,1000,10,2,1.2136553662392955,4.556996357683295,2.1347122423603833,1.1817866780980304,4.465713937578541,2.113223589111796
5,1000,10,2,1.1555092830175777,4.304302143579995,2.0746812149291745,1.2343853097157247,4.868915536686829,2.2065619267736016
5,1000,8,5,1.162131609723035,4.324242961208077,2.079481416413255,1.236843296124407,4.871698142877175,2.20719236653201
5,1000,6,10,1.1717459125455192,4.349573870079104,2.0855632021300874,1.2415346510561895,4.878749017258507,2.208789038649573
10,1000,10,5,1.197996055010696,4.593017270622872,2.1431325835381423,1.2989068350680844,5.233185895187202,2.2876157665104517
10,1000,12,3,1.1998774185749348,4.597064625568902,2.1440766370558917,1.2993513751536143,5.235130307903123,2.2880407137774283
10,1000,10,10,1.2001087177396557,4.600049436953681,2.1447725839710094,1.3001519451026864,5.230211413359405,2.286965547042501
