n_prev_games,n_estimators,max_depth,min_samples_split,val_MAE,val_MSE,val_RMSE,test_MAE,test_MSE,test_RMSE,model
2,1000,10,2.0,1.2136553662392955,4.556996357683295,2.1347122423603833,1.1817866780980304,4.465713937578541,2.113223589111796,RFG
2,1000,6,0.1,1.21429757422706,4.52305219751599,2.1267468578831825,1.1822181336421171,4.418222548159786,2.1019568378441518,XGB
