fold,mae,rmse
1,1.1871244338260771,2.116583896093218
2,1.2116283855732803,2.1223252988750745
3,1.2292064316209994,2.2235449727607417
4,1.205428510229863,2.086465223400559
5,1.190033000571063,2.112824621058168
