fold,mae,rmse
1,1.1764466865328245,2.116900728346073
2,1.202912817928121,2.1188586889754557
3,1.2325540458309268,2.2369939912335766
4,1.1869632046077803,2.0692322560290943
5,1.1805251382771276,2.1119254519116346
