n_future,mean_mae,std_mae,mean_rmse,std_rmse
1,1.1966608886387404,0.018054803459955814,2.140612206038913,0.05963386145691704
2,1.251325886729149,0.02359327291131709,2.1842270513886195,0.04683605481094176
3,1.3012118156748063,0.0095945315397631,2.231553354054513,0.02923529962805323
4,1.3267658212785096,0.022801294016451236,2.249489383187806,0.05862310337453318
5,1.350538448278241,0.01017105703624588,2.2692921412023743,0.04245906550427888
