fold,mae,rmse
1,1.2107060394340974,2.160026270117878
2,1.2206255138282067,2.1912019932822426
3,1.21026095620249,2.0843273789944003
4,1.2396242540459153,2.1794886495970247
5,1.1940640534757136,2.093725167268665
