fold,mae,rmse
1,1.2040924528847365,2.111045958428592
2,1.2069783890138477,2.110807026946041
3,1.2207292477942777,2.167940686132818
4,1.211423648273144,2.122873912507154
5,1.2240196442743114,2.20876590673326
