game_number,mean_error,std_error,median_error,count
5,1.2227933953289067,1.8033262863988295,0.5346317291259766,652
6,1.1695772218129907,1.6372980677294267,0.5172342658042908,648
7,1.216158980298686,1.8495071996150374,0.4931838661432266,644
8,1.1097650638566905,1.6199574337886185,0.5018024146556854,638
9,1.275390846104715,1.9816533735043254,0.5200809836387634,629
10,1.0624790334807763,1.670347322714248,0.4947068393230438,626
11,1.1136962579051517,1.5284239007591667,0.589690774679184,624
12,1.1886287168704308,1.7721549231380047,0.5363447666168213,623
13,1.1090680691338353,1.6838239640319563,0.4693140983581543,619
14,1.1902917690300483,1.7496228821205555,0.5113785266876221,607
15,1.2032078731153468,1.8284848516344046,0.5220183432102203,606
16,1.062054011615575,1.57546955000088,0.45248860120773315,598
17,1.1636631931841248,1.871155753457386,0.4651321768760681,590
18,1.2298125259665789,1.6712150708868343,0.582012951374054,585
19,1.2798631340144844,1.7188812762544508,0.6068210899829865,580
20,1.124429562131493,1.6701218667993725,0.4534735679626465,579
21,1.2225175111804372,1.881637914481376,0.5255910754203796,576
22,1.1550298567684547,1.5863752874686186,0.6041093468666077,569
23,1.2656073642284733,1.8987545749092944,0.5310816168785095,565
24,1.3270648195348838,1.9735922916791366,0.5568815469741821,564
25,1.1113536388264038,1.6890456291554792,0.48131799697875977,560
26,1.2003231789735154,1.7058578925306063,0.590708315372467,559
27,1.2379426827793858,1.7870882626437912,0.529626727104187,557
28,1.2894688257105855,1.890586475886269,0.4723169058561325,556
29,1.2789304302929825,1.9160062883790352,0.5582489371299744,555
30,1.2570922037674461,1.8055303958801312,0.6002850532531738,551
31,1.2316726037629901,1.8695579659615407,0.5705106258392334,546
32,1.2518893500304542,1.7566261346171497,0.5642942190170288,541
33,1.161106422511992,1.7241837701711327,0.4807063639163971,539
34,1.2464056669671397,2.1185192953548664,0.5225959122180939,532
35,1.1184828300266711,1.5737204492554349,0.49043428897857666,529
36,1.157324314778072,1.7447734530324392,0.4417850971221924,529
37,1.1261658442194287,1.8161554090804708,0.4026939868927002,526
38,1.7016892433166504,0.0,1.7016892433166504,1
