game_number,mean_error,std_error,median_error,count
4,1.1501424391965231,1.7233149534638459,0.5063633918762207,653
5,1.2107276709034662,1.8097977113183215,0.5290708541870117,652
6,1.1525232823887002,1.6327386658194518,0.5125283300876617,648
7,1.2223587715231832,1.8377261213919964,0.49953998625278473,644
8,1.138201990202405,1.630309801351472,0.48039016127586365,638
9,1.262495374377737,1.9433627632657042,0.5197010636329651,629
10,1.0834017046132145,1.7472026931951068,0.46199658513069153,626
11,1.107234548866892,1.5747283732874606,0.4956115484237671,624
12,1.1561842739416128,1.730407573135038,0.514387309551239,623
13,1.1083787015672346,1.6691612206568822,0.499906063079834,619
14,1.1699990439669825,1.7078874103954311,0.45843610167503357,607
15,1.2131915854654358,1.8466066182851968,0.5542011559009552,606
16,1.0682562247308416,1.612269523782301,0.45184069871902466,598
17,1.2034261649805988,1.8839276550099417,0.5088871717453003,590
18,1.2209688427360552,1.6848164301717594,0.527590274810791,585
19,1.2813226917100236,1.7023499356064666,0.6067788600921631,580
20,1.1267711275477534,1.6456385935061881,0.5060757398605347,579
21,1.2414414008865908,1.8904363589612485,0.5316135883331299,576
22,1.125049986863044,1.5204158576558677,0.585902214050293,569
23,1.2729670294605822,1.8852964198858788,0.516517162322998,565
24,1.2928206647869285,1.9603001122871813,0.5078652501106262,564
25,1.1523511680965643,1.7019618747978937,0.5126136541366577,560
26,1.1667532871655573,1.7258647365861233,0.5519112348556519,559
27,1.2350977861825745,1.8187462498216977,0.5474363565444946,557
28,1.2414461628478624,1.8587035176938072,0.4616091698408127,556
29,1.2825300668183766,1.913348615488609,0.5110013484954834,555
30,1.2048405914291902,1.7543469799164098,0.5662466883659363,551
31,1.2486341053921892,1.8699530306923866,0.6083279550075531,546
32,1.2527533036178105,1.7429135780524327,0.5655208826065063,541
33,1.1071915106073795,1.6477715719430002,0.47177910804748535,539
34,1.2218221564102336,2.1134988613826153,0.4595871865749359,532
35,1.0871024536948637,1.5554899327539073,0.40141770243644714,529
36,1.1914908268030324,1.7696341857005904,0.5401399731636047,529
37,1.1404716893674243,1.8355542587965885,0.44627469778060913,526
38,2.1038002967834473,0.0,2.1038002967834473,1
