fold,mae,rmse
1,1.1827518132591222,2.1000938981857638
2,1.1681352167968289,2.086197311756584
3,1.2010345603269015,2.1625034736951942
4,1.184100009164095,2.105555649542335
5,1.1899000579020496,2.180898325551815
