fold,mae,rmse
1,1.1766897321781937,2.136802831546327
2,1.1908262776911278,2.1713569031027804
3,1.1897502095634658,2.08042376345247
4,1.2100696772855024,2.155862781372027
5,1.1498298259489954,2.053961642695564
