game_number,mean_error,std_error,median_error,count
6,1.145047996109093,1.6220412559343498,0.49543076753616333,648
7,1.2390661855041691,1.8543271830827253,0.49592866003513336,644
8,1.1168829287418025,1.635491822231968,0.5243766903877258,638
9,1.237300642741628,1.9425245485914329,0.5089371800422668,629
10,1.0997081900762318,1.7637901292464524,0.459153950214386,626
11,1.0895300897766271,1.5325160327169407,0.4754946231842041,624
12,1.167887250848625,1.7262177909316354,0.5293607711791992,623
13,1.127466988687363,1.7110447087099763,0.505669116973877,619
14,1.1538719671054956,1.688174376989331,0.4835081994533539,607
15,1.174055594904041,1.831328959722957,0.48027317225933075,606
16,1.082244605554056,1.5842342669606173,0.44919532537460327,598
17,1.176649140537385,1.8812013711845106,0.4821787625551224,590
18,1.1996788877842581,1.6702410491135327,0.5167217254638672,585
19,1.267481177462594,1.6983535675660262,0.6068935394287109,580
20,1.1160956797795611,1.6560399318421126,0.5065435171127319,579
21,1.2424968669689003,1.8800567334345193,0.5481701493263245,576
22,1.1443129048006764,1.586855223452749,0.5823385715484619,569
23,1.233325245967588,1.8252644050638591,0.5325912833213806,565
24,1.303616722562294,1.9217165140987298,0.49934154748916626,564
25,1.1513926897555524,1.7012624283053726,0.5286483466625214,560
26,1.1608555824304256,1.6923206353364326,0.5384849607944489,559
27,1.243037919810249,1.8410441268450315,0.5148693919181824,557
28,1.2733145705796947,1.8299745826694964,0.5001856088638306,556
29,1.3081950173951342,1.9133811676390722,0.590306282043457,555
30,1.2237090212977517,1.7856345561660383,0.5993938446044922,551
31,1.236136011147766,1.8560259431272246,0.5710117518901825,546
32,1.2092754664760283,1.7405824343034186,0.5126169919967651,541
33,1.135323296877528,1.6765986960234527,0.47366610169410706,539
34,1.2529786094282211,2.060292894693883,0.4781166911125183,532
35,1.065111634177147,1.5114210764895153,0.4286240339279175,529
36,1.2022718985141159,1.7829826630728196,0.45062872767448425,529
37,1.1147892276717513,1.7755850773857145,0.44711780548095703,526
38,2.191918134689331,0.0,2.191918134689331,1
