fold,mae,rmse
1,1.2313444354214955,2.1792923961678903
2,1.21929143390679,2.1520262976949085
3,1.1808193584894897,2.0648657612281065
4,1.2270010439260393,2.202675403681859
5,1.1825084852975596,2.0823397417882945
