fold,mae,rmse
1,1.2172425396583317,2.198249304104192
2,1.1759550787175215,2.1178453656603153
3,1.1772637818784804,2.1550071810292195
4,1.1840115286780928,2.049688583890029
5,1.2031277784363852,2.1389746802284177
