fold,mae,rmse
1,1.2159694033125001,2.1747534287421546
2,1.1854050493816206,2.135421001167177
3,1.1635268297023038,2.061317266829489
4,1.2012818688140212,2.179911588598357
5,1.1619285808194806,2.082182706916262
