fold,mae,rmse
1,1.2370549005275304,2.209467868897624
2,1.2071637560116886,2.1206487314381417
3,1.195044609361482,2.1702504263408913
4,1.21188196624939,2.066170401476214
5,1.22697802427026,2.15159999151475
